question,answer
"la violence","die Gewalt"
"un acte de violence","ein Gewaltakt"
"violent","gewalttätig, heftig"
"la haine","der Hass"
"haïr qn/qc","jn/etw. hassen"
"la vengeance","die Rache"
"se venger de qn/qc","sich an jm rächen, sich für etw. rächen"
"le délit","das Delikt"
"commettre un crime","ein Verbrechen begehen"
"le casseur","der Schläger"
"la menace","die Bedrohung, die Drohung"
"menacer qn","jn bedrohen"
"frapper qn/qc","jn/etw. schlagen, jn/etw. klopfen"
"tabasser qn","jn verprügeln"
"une agression","ein Angriff"
"un agresseur","ein Angreifer"
"agresser qn","jn angreifen, jn überfallen"
"la rixe","die Schlägerei"
"le vol","der Diebstahl"
"le cambriolage","der Einbruch, der Einbruchsdiebstahl"
"cambrioler qc","in etw. einbrechen"
"le chantage","die Erpressung"
"maltraiter qn","jn misshandeln"
"bousculer qn","jn anrempeln"
"le viol","die Vergewaltigung"
"violer qn","jn vergewaltigen"
"kidnapper qn","jn entführen"
"une insulte","eine Beschimpfung, eine Beleidigung"
"le harcèlement","die Belästigung, das Mobbing"
"harceler qn","jn belästigen, mobben"
"la persécution","die Verfolgung"
"tuer qn","jn töten"
"abattre qn","jn erschiessen"
"une arme","eine Waffe"
"le fusil","das Gewehr"
"le pistolet","die Pistole"
"poignarder qn","jn erstechen"
"la blessure","die Verletzung"
"blesser qn","jn verletzen"
"le meurtre","der Mord"
"le meurtrier","der Mörder"
"le coupable","der Täter, der Schuldige"
"la bande","die Bande"
"être coupable de qc","einer Sache schuldig sein"
"la victime","das Opfer"
"le témoin","der Zeuge"
"la police","die Polizei"
"le policier","der Polizist"
"un avocat","ein Anwalt"
"le juge","der Richter"
"arrêter qn","jn festnehmen, verhaften"
"une accusation","eine Anklage"
"accuser qn de qc","jn einer Sache anklagen"
"un interrogatoire","eine Befragung"
"interroger qn","jn verhören, befragen"
"une innocence","eine Unschuld"
"innocent","unschuldig"
"avouer qc","etw. zugeben"
"le soupçon","der Verdacht"
"soupçonner qn","jn verdächtigen"
