question,answer
"une entrée","ein Eingang, eine Auffahrt, ein Eintritt"
"un arrêt de bus","die Bushaltestelle"
"la gare","der Bahnhof"
"la station de métro","die Metrostation"
"la voie","das Gleis, die Fahrbahn, der Weg"
"la correspondance","der Anschluss (im öV)"
"à l'étranger","im Ausland"
"la frontière","die Grenze"
"la douane","der Zoll"
"déclarer qc à qn","jm gegenüber/etw. verzollen"
"le séjour","der Aufenthalt"
"un hébergement","die Unterkunft"
"un hôtel","ein Hotel"
"la chambre double","das Doppelzimmer"
"la chambre simple","das Einzelzimmer"
"la pension complète","die Vollpension"
"la demi-pension","die Halbpension"
"la salle de bains","das Bad(ezimmer)"
"une auberge de jeunesse","eine Jugendherberge"
"un appartement de vacances","eine Ferienwohnung"
"la chambre d'hôte","das Gästezimmer"
"le camping","Campen, der Campingplatz"
"la tente","das Zelt"
"complet","ausgebucht"
"la haute saison","die Hochsaison"
"la basse saison","die Nebensaison"
"louer qc","etw. mieten"
"le petit-déjeuner","das Frühstück"
"le déjeuner","das Mittagessen"
"le dîner","das Nachtessen"
"le casse-croûte","der Imbiss, die Zwischenmahlzeit"
"à (l')emporter","zum Mitnehmen"
"la formule","das Menuangebot"
"proposer qc à qn","jm etw. vorschlagen"
"recommander qc à qn","jm etw. empfehlen"
"commander qc","etw. bestellen"
"la commande","die Bestellung"
"goûter qc","etw. probieren"
"coûter qc","etw. kosten"
"une addition","eine Rechnung"
"service compris","Bedienung inbegriffen"
"le pourboire","das Trinkgeld"
"remplir qc","etw. ausfüllen, füllen"
"le formulaire","das Formular"
"la carte d'identité","die Identitätskarte"
"le passeport","der Pass"
"être à l'heure","pünktlich sein"
"être en retard","verspätet sein"
"le paysage","die Landschaft"
"le désert","die Wüste"
"la côte","die Küste"
"le fleuve","der Fluss"
"le ruisseau","der Bach"
"le port","der Hafen"
"la forêt vierge","der Urwald"
"une excursion","ein Ausflug"
"le plan","der Stadtplan"
"la carte","die Landkarte"
"le panorama","das Panorama, der Rundblick"
"la curiosité","die Sehenswürdigkeit"
"la vieille ville","die Altstadt"
"le monument","das Denkmal"
"une église","eine Kirche"
"un hôtel de ville","ein Rathaus"
"le château","das Schloss"
"la tour","der Turm"
"la banque","die Bank"
"la poste","die Post"
"le stade","das Stadion"
"une ambassade","eine Botschaft"
"les heures d'ouverture","die Öffnungszeiten"
