question,answer
"platform","Plattform"
"app","App"
"blog","Blog"
"e-book","E-Book"
"check sb/st out","etw. nachprüfen, etw. überprüfen"
"destination","Reiseziel"
"partly","zum Teil, teilweise"
"shot","Aufnahme (Foto)"
"filmmaker","Filmproduzent:in"
"worth","Wert"
"capture","aufnehmen, einfangen"
"let's face it","seien wir ehrlich"
"book","buchen"
"influencer","Influencer:in"
"promote","(be)werben, verbreiten"
"nightlife","Nachtleben"
"increase","Anstieg"
"purchase","erwerben, kaufen"
"balance","Gleichgewicht"
"cliff","Klippe"
"double","verdoppeln"
"necessarily","zwangsläufig, unbedingt"
"steep","steil"
"widen","breiter werden/machen"
"thus","daher"
"litter, rubbish, trash","Müll"
"bunch","Haufen"
"edge","Rand, Kante"
"footage","Filmmaterial"
"recognition","Anerkennung"
"popularity","Beliebtheit"
"issue","Angelegenheit, Problem"
"blogger","Blogger:in"
"host","Gastgeber:in"
"headline","die Schlagzeile"
"journalist","Journalist:in"
"selfie","Selfie"
"attachment","Anhang"
"file","Datei"
"helpline","Beratungsstelle, Helpline"
"google","googeln, im Internet suchen"
"search engine","Suchmaschine"
"voicemail","Sprachnachricht, Anrufbeantworter"
"truthful","wahrheitsgemäss"
"unlock","aufschliessen"
"webcam","Webcam"
"pleasure","Vergnügen"
"commute","Arbeitsweg, Pendelstrecke"
"audiobook","Hörbuch"
"option","Alternative, Option"
"content","Inhalt"
"recommendation","Empfehlung"
"tale","Erzählung, Geschichte"
"appreciate","zu schätzen wissen, wertschätzen"
"editor","Redakteur:in"
"artificial intelligence","künstliche Intelligenz"
"audience","Publikum"
"filter","Filter"
"go viral","viral gehen"
"catch on","beliebt werden"
"catch up","nachholen"
"bring over","mitbringen"
"bring up","zur Sprache bringen"
"hang on","einen Augenblick warten"
"hang up","auflegen"
"look up","nachschauen, nachschlagen"
"look at","betrachten"
"call in on sb","bei jdm. vorbeischauen"
"call back","zurückrufen"
"screen time","Bildschirmzeit"
"be mistaken","falschliegen"
"accompany (accompanied, accompanied)","begleiten"
"journal","Zeitschrift, Fachjournal"
"animal welfare","Tierschutz"
"hacking","das Hacken"
"storyline, plot","Handlung"
"confusing","verwirrend"
"episode","Folge, Episode"
"mysteriously","rätselhaft, mysteriös"
"recommend","empfehlen"
"series","Serie"
"star (starred, starred) as / in","die Hauptrolle spielen"
"disappearance","das Verschwinden"
"scriptwriter","Drehbuchautor:in"
"government","Regierung"
"element","Bestandteil, Element"
"take down (took, taken)","etw. entfernen, etw. wegnehmen"
"priority","Priorität"
"urgently","dringend"
"visual","sichtbar, visuell"
"key","entscheidend (adj.)"
